psychotherapy	paɪʧoʊθəreɪpaɪ	<ˌsaɪkoʊˈθɛrəpi>
inter	ɪnt	<ˌɪnˈtər>
sheriff	ʃərɪf	<ˈʃɛrɪf>
splits	spɪts	<splɪts>
disabled	dɪseɪblɛd	<dɪˈseɪbəld>
engraved	ɛngreɪvd	<ɪnˈgreɪvd>
construed	kɑnstrud	<kənˈstrud>
barefoot	bɛrfut	<ˈbɛrˌfʊt>
moustache	maʊzteɪʧ	<ˈməˌstæʃ>
wallet	wɑllɛt	<ˈwɔlət>
babble	bæbbli	<ˈbæbəl>
sabotage	sæboʊteɪʤ	<ˈsæbəˌtɑʒ>
grader	grædər	<ˈgreɪdər>
complement	kɑmplimɛnt	<ˈkɑmpləmənt>
presentation	prɛzɛntɑtaɪn	<ˌprɛzənˈteɪʃən>
canto	kæntoʊ	<ˈkæntoʊ>
mam	mæm	<ˈɛˈmeɪˈɛm>
quiescent	kwiɛssɛnt	<kwaɪˈɛsənt>
rollback	roʊlbæk	<ˈroʊlˌbæk>
overgrown	oʊvərgraʊn	<ˌoʊvərˈgroʊn>
freighter	freɪtər	<ˈfreɪtər>
doc	dɑk	<dɑk>
health	hɛlθ	<hɛlθ>
transistor	trænsɪstɔr	<trænˈzɪstər>
piled	paɪld	<paɪld>
juror	ʤurər	<ˈʤʊrər>
multiply	məltiplaɪ	<ˈməltəˌplaɪ>
citric	sɪtrɪk	<ˈsɪtrɪk>
bone	boʊn	<boʊn>
counteract	kaʊntərækt	<ˈkaʊntərˌækt>
layer	leɪər	<leɪər>
scarlet	skɑrlɛt	<ˈskɑrlət>
walker	wɔkər	<ˈwɔkər>
come	koʊm	<kəm>
component	kɑmpoʊnɛnt	<kəmˈpoʊnənt>
experimentation	ɛkspəraɪmɛntɑtaɪn	<ɪkˌspɛrəmənˈteɪʃən>
injured	ɪnʤʊrd	<ˈɪnʤərd>
communicated	kɑmmunikætɛd	<kəmˈjunəˌkeɪtɪd>
interferon	ɪntərfərɑn	<ˌɪntərˈfɪrɑn>
etna	ɛtnɑ	<ˈɛtnə>
carver	kɑrvər	<ˈkɑrvər>
candidate	kændaɪdeɪt	<ˈkænədɪt>
someplace	soʊmpleɪs	<ˈsəmˌpleɪs>
heartbeat	hɑrtbit	<ˈhɑrtˌbit>
informational	ɪnfɔrmɑtaɪnæl	<ˌɪnˈfɔrˌmeɪʃənəl>
brink	brɪŋk	<brɪŋk>
sunshine	sənʃaɪn	<ˈsənˌʃaɪn>
mary	mɑrjaɪ	<ˈmɛri>
dress	drɛs	<drɛs>
pretzel	prɛtzɛl	<ˈprɛtzəl>
cast	kæst	<kæst>
deploy	diplɔɪ	<dɪˈplɔɪ>
insatiable	ɪnsɑtaɪbli	<ˌɪnˈseɪʃəbəl>
appropriation	æpproʊpraɪeɪtaɪn	<əˌproʊpriˈeɪʃən>
boot	but	<but>
fracture	fræktʊr	<ˈfrækʧər>
suggestive	səgʤɛstaɪv	<səˈʤɛstɪv>
ver	vər	<vər>
excavating	ɛkskɑvætɪŋ	<ˈɛkskəˌveɪtɪŋ>
gesellschaft	ʤisɛlʃæft	<gəˈsɛlʃæft>
counselor	kaʊnsilɔr	<ˈkaʊnsələr>
oar	ɔr	<ɔr>
inpatient	ɪnpɑtaɪnt	<ˈɪnˌpeɪʃənt>
hummingbird	həmmɪŋbərd	<ˈhəmɪŋˌbərd>
pounce	paʊns	<paʊns>
bellied	bɛllaɪd	<ˈbɛlid>
contact	kɑntækt	<ˈkɑnˌtækt>
flower	floʊər	<flaʊər>
bode	boʊd	<boʊd>
balloon	bællun	<bəˈlun>
magnetically	mægnɛtaɪkællaɪ	<mægˈnɛtɪkəli>
organ	ərgæn	<ˈɔrgən>
glycogen	glaɪkoʊʤɛn	<ˈglaɪkəʤɪn>
actually	æktuællaɪ	<ˈæˌkʧuəli>
magnificent	mægnɪfaɪsɛnt	<mægˈnɪfɪsənt>
infringing	ɪnfrɪŋɪŋ	<ˌɪnˈfrɪnʤɪŋ>
luminescence	luminɛssɛns	<ˌluməˈnɛsəns>
retire	ritaɪər	<ˌriˈtaɪər>
raisin	reɪsɪn	<ˈreɪzɪn>
deck	dɛk	<dɛk>
bleeding	blidɪŋ	<ˈblidɪŋ>
misdemeanor	mɪsdiminər	<ˌmɪsdəˈminər>
waterproof	wɑtərpruf	<ˈwɔtərˌpruf>
humidifier	humɪdaɪfaɪər	<hjuˈmɪdəˌfaɪər>
timepiece	taɪmpaɪs	<ˈtaɪmˌpis>
ascertain	æskərteɪn	<ˌæsərˈteɪn>
journalist	ʤʊrnælɪst	<ˈʤərnəlɪst>
thrift	θrɪft	<θrɪft>
bourgeoisie	baʊərgeɪsi	<ˌbʊrʒˌwɑˈzi>
custodian	kəstoʊdaɪæn	<kəˈstoʊdiən>
auth	ɔθ	<ɔθ>
neuropathy	nurɑpeɪðaɪ	<ˌnʊˈrɔpəθi>
chromosome	ʧroʊmoʊsoʊm	<ˈkroʊməˌzoʊm>
coliform	kɑlaɪfɔrm	<ˈkɔləˌfɔrm>
cashew	kæʃju	<ˈkæˌʃu>
express	ɛksprɛs	<ɪkˈsprɛs>
firmness	fərmnɛs	<ˈfərmnəs>
dogged	dɑgʤɛd	<dɔgd>
war	wɑr	<wɔr>
experience	ɛkspiraɪɛns	<ɪkˈspɪriəns>
concluded	kɑnklədɛd	<kənˈkludɪd>
mortuary	mɔrtuɑrjaɪ	<ˈmɔrʧuˌɛri>
documentary	dɑkumɛntɑraɪ	<ˌdɑkjəˈmɛnəri>
bracelet	breɪslɛt	<ˈbreɪslət>
lube	lub	<lub>
optimistic	ɑptimɪstɪk	<ˌɑptɪˈmɪstɪk>
arbiter	ɑrbaɪtər	<ˈɑrbɪtər>
edit	daɪt	<ˈɛdət>
fanny	fænnaɪ	<ˈfæni>
enduring	ɛndərɪŋ	<ɪnˈdʊrɪŋ>
experienced	ɛkspiraɪɛnst	<ɪkˈspɪriənst>
launch	lənʧ	<lɔnʧ>
grained	greɪnd	<greɪnd>
nonlinear	nɑnlɪniɑr	<nɑnˈlɪˌniər>
leather	liθər	<ˈlɛðər>
optical	ɑptikæl	<ˈɑptɪkəl>
waning	wɑnɪŋ	<ˈweɪnɪŋ>
tom	tɑm	<tɑm>
cassie	kæssi	<ˈkæsi>
flashback	flæʃbæk	<ˈflæʃˌbæk>
objector	ɑbʤɛktɔr	<əˈbʤɛktər>
fairly	fɛrlaɪ	<ˈfɛrli>
tribute	trɪbjut	<ˈtrɪbjut>
colt	kɑlt	<koʊlt>
moxie	mɑksaɪ	<ˈmɑksi>
weird	wɪrd	<wɪrd>
diurnal	daɪərnæl	<daɪəˈrnəl>
scan	skæn	<skæn>
requisite	rɛkjusaɪt	<ˈrɛkwəzət>
drive	draɪv	<draɪv>
particle	pɑrtikli	<ˈpɑrtɪkəl>
medicinal	midɪkaɪnæl	<məˈdɪsənəl>
light	laɪt	<laɪt>
diagnostic	daɪægnɑstɪk	<ˌdaɪəgˈnɑstɪk>
mullen	məllɛn	<ˈmələn>
upheaval	əphivæl	<əˈphivəl>
divisive	daɪvisaɪv	<dɪˈvaɪsɪv>
gertrude	gərtrud	<ˈgərtrud>
outrageously	aʊtrɑguzlaɪ	<ˌaʊˈtreɪʤəsli>
county	kaʊntaɪ	<ˈkaʊnti>
hibernate	haɪbərneɪt	<ˈhaɪbərˌneɪt>
horrible	hərraɪbli	<ˈhɔrəbəl>
pos	pɑs	<ˈpiˈoʊˈɛs>
landmark	lændmɑrk	<ˈlændˌmɑrk>
massaging	mæssægɪŋ	<məˈsɑʒɪŋ>
fish	fɪʃ	<fɪʃ>
deacon	dikɑn	<ˈdikən>
abound	eɪbaʊnd	<əˈbaʊnd>
bordered	bɔrdɛrd	<ˈbɔrdərd>
puff	pəf	<pəf>
scraper	skræpər	<ˈskreɪpər>
hacking	hækɪŋ	<ˈhækɪŋ>
rebound	ribaʊnd	<riˈbaʊnd>
destitute	dɛstitut	<ˈdɛstəˌtut>
encyclopaedia	ɛnkaɪkloʊpeɪdaɪeɪ	<ɪnˌsaɪkləˈpidiə>
lawyer	lɔjər	<ˈlɔjər>
pest	pɛst	<pɛst>
vascular	væskulɑr	<ˈvæskjələr>
headquarter	hɛdkwɑrtər	<ˈhɛdˌkɔrtər>
dwelling	dilɪŋ	<dˈwɛlɪŋ>
signature	sɪgnɑtʊr	<ˈsɪgnəʧər>
celery	sɛlərjaɪ	<ˈsɛləri>
motive	moʊtaɪv	<ˈmoʊtɪv>
girdle	gərdɛl	<ˈgərdəl>
fucking	ˈfəɪŋ	<ˈfəkɪŋ>
synonym	sɪnoʊnɪm	<ˈsɪnəˌnɪm>
pipe	paɪp	<paɪp>
prodigal	prɑdaɪgæl	<ˈprɑdɪgəl>
categorization	kætigoʊraɪzɑtaɪn	<ˌkætəgərɪˈzeɪʃən>
baa	bæ	<ˌbiˌeɪˈeɪ>
piston	pɪstɑn	<ˈpɪstən>
desperate	dɛspəreɪt	<ˈdɛspərɪt>
ilk	ɪlk	<ɪlk>
endogenous	ɛndɑginuz	<ˌɛnˈdɔʤɛnəs>
overpriced	oʊvərpraɪzd	<ˈoʊvərˌpraɪst>
gardener	gɑrdɛnər	<ˈgɑrdənər>
sham	ʃæm	<ʃæm>
hob	hɑb	<hɑb>
shoemaker	ʃoʊmækər	<ˈʃuˌmeɪkər>
playmate	pleɪmeɪt	<ˈpleɪˌmeɪt>
wishful	wɪʃfəl	<ˈwɪʃfəl>
lustre	luztri	<ˈləstər>
engrossing	ɛngrɑsɪŋ	<ɪnˈgroʊsɪŋ>
soundly	saʊndlaɪ	<ˈsaʊndli>
converging	kɑnvərgɪŋ	<kənˈvərʤɪŋ>
clemency	klɛmɛnkaɪ	<ˈklɛmənsi>
penny	pɛnnaɪ	<ˈpɛni>
gentlewoman	ʤɛntiwɑmæn	<ˈʤɛnəlˌwʊmən>
app	æp	<æp>
bystander	baɪstændər	<ˈbaɪˌstændər>
slew	slu	<slu>
sigma	sɪgmɑ	<ˈsɪgmə>
peasant	pizænt	<ˈpɛzənt>
lubricating	lubraɪkætɪŋ	<ˈlubrəˌkeɪtɪŋ>
epistemic	ɛpɪstɛmɪk	<ˌɛpɪˈstɛmɪk>
bloc	blɑk	<blɑk>
imbalance	ɪmbælæns	<ɪmˈbæləns>
simulated	sɪmulætɛd	<ˈsɪmjəˌleɪtɪd>
civilization	kɪvaɪlaɪzɑtaɪn	<ˌsɪvəlɪˈzeɪʃən>
retrieved	ritrivd	<riˈtrivd>
panther	pænθər	<ˈpænθər>
tolerate	tɑləreɪt	<ˈtɑlərˌeɪt>
carry	kɑrraɪ	<ˈkɛri>
discriminated	dɪskrɪmaɪnætɛd	<dɪˈskrɪməˌneɪtɪd>
gemma	ʤɛmmɑ	<ˈʤɛmə>
dorr	dɔr	<dɔr>
wholesale	hoʊlseɪl	<ˈhoʊlˌseɪl>
birthright	bərθraɪt	<ˈbərθˌraɪt>
title	titi	<ˈtaɪtəl>
shade	ʃeɪd	<ʃeɪd>
temporary	tɛmpoʊrɑrjaɪ	<ˈtɛmpərˌɛri>
mercury	mɛrkuraɪ	<ˈmərkjəri>
foxes	fɑksɛs	<ˈfɑksəz>
cheesecake	ʧizkeɪk	<ˈʧizˌkeɪk>
foolish	fulɪʃ	<ˈfulɪʃ>
tailgate	teɪlgeɪt	<ˈteɪlˌgeɪt>
attainment	ætteɪnmɛnt	<əˈteɪnmənt>
generated	ʤɛnərætɛd	<ˈʤɛnərˌeɪtɪd>
sole	soʊl	<soʊl>
waive	weɪv	<weɪv>
flawed	fleɪd	<flɔd>
forerunner	fɔrrənnɛr	<ˈfɔˌrənər>
centrifuge	sɛntraɪfjuʤ	<ˈsɛntrəfˌjuʤ>
mantra	mæntrɑ	<ˈmæntrə>
ambler	æmblɛr	<ˈæmblər>
place	pleɪs	<pleɪs>
electric	ilɛktrɪk	<ɪˈlɛktrɪk>
dulcimer	dəlkimɛr	<ˈdəlsɪmər>
calvary	kælvɑraɪ	<ˈkælvəri>
systematic	sɪstɛmætɪk	<ˌsɪstəˈmætɪk>
superficial	supərfaɪkil	<ˌsupərˈfɪʃəl>
napping	næppɪŋ	<ˈnæpɪŋ>
ditch	dɪʧ	<dɪʧ>
narrows	nɑrraʊz	<ˈnɛroʊz>
rematch	rimæʧ	<ˈriˈmæʧ>
victoria	vɪktoʊraɪeɪ	<vɪkˈtɔriə>
contrary	kɑntrɑraɪ	<ˈkɑntrɛri>
horoscope	həroʊskoʊp	<ˈhɔrəˌskoʊp>
secrecy	sikrikaɪ	<ˈsikrəsi>
finale	faɪnɑli	<fəˈnæli>
gutted	gəttɛd	<ˈgətɪd>
mirage	mireɪʤ	<mərɑʒ>
technically	tɛʧnikællaɪ	<ˈtɛknɪkəli>
stang	stæŋ	<stæŋ>
presbyterian	prɛzbaɪtəraɪæn	<ˌprɛzbɪˈtɪriən>
receptionist	risɛptaɪnɪst	<rɪˈsɛpʃənɪst>
amino	eɪminoʊ	<əˈminoʊ>
canon	kænɑn	<ˈkænən>
dot	dɑt	<dɑt>
resistant	risɪstænt	<rɪˈzɪstənt>
qualify	kwɑlaɪfaɪ	<kˈwɑləˌfaɪ>
truncate	trənkeɪt	<ˈtrəŋˌkeɪt>
sage	seɪʤ	<seɪʤ>
minimalist	mɪnaɪmælɪst	<ˈmɪnəməlɪst>
special	spikil	<ˈspɛʃəl>
operation	ɑpəreɪtaɪn	<ˌɑpərˈeɪʃən>
doubtless	daʊbtlɛs	<ˈdaʊtləs>
poet	poʊt	<poʊət>
cancel	kænsɛl	<ˈkænsəl>
ensign	ɛnsɪŋ	<ˈɛnsən>
referral	rifərræl	<rɪˈfərəl>
postmortem	pɑstmɔrtɛm	<poʊstˈmɔrtɛm>
gaz	gæz	<gɑz>
pathogenic	pæθoʊʤɛnɪk	<ˌpæθəˈʤɛnɪk>
aback	eɪbæk	<əˈbæk>
weightlifting	weɪtlɪftɪŋ	<ˈweɪˌtlɪftɪŋ>
league	lig	<lig>
station	stɑtaɪn	<ˈsteɪʃən>
chic	ʧɪk	<ʃik>
arteriosclerosis	ɑrtiraɪoʊskiroʊsɪs	<ɑrˌtɪrioʊsklərˈoʊsəs>
cancelled	kænkɛld	<ˈkænsəld>
finest	fɪnɛst	<ˈfaɪnəst>
gemini	ʤɛmaɪni	<ˈʤɛməˌni>
diocesan	daɪɑkisæn	<daɪˈɑsəsən>
concurrent	kɑnkərrɛnt	<kənˈkərənt>
accreditation	ækkrɛdaɪtɑtaɪn	<əˌkrɛdəˈteɪʃən>
aline	eɪlaɪn	<əˈlaɪn>
shopkeeper	ʃɑpkipər	<ˈʃɑpˌkipər>
prejudice	priudaɪs	<ˈprɛʤədɪs>
hypoxia	haɪpɑksaɪeɪ	<haɪˈpɑksiə>
satire	sætaɪər	<ˈsæˌtaɪər>
abridged	eɪbrɪʤd	<əˈbrɪʤd>
necessitated	nisɛssitætɛd	<nəˈsɛsəˌteɪtəd>
ribbon	rɪbbɑn	<ˈrɪbən>
jackal	ʤækæl	<ˈʤækəl>
trucking	təkɪŋ	<ˈtrəkɪŋ>
tenant	tɛnænt	<ˈtɛnənt>
mantua	mæntueɪ	<ˈmænʧuə>
comes	koʊmɛs	<kəmz>
delegated	dɛligætɛd	<ˈdɛləˌgeɪtəd>
transitional	trænsitaɪnæl	<trænˈzɪʃənəl>
guaranty	gəræntaɪ	<ˌgɛrənˈti>
equipped	ikwɪpt	<ɪkˈwɪpt>
righteous	raɪtuz	<ˈraɪʧəs>
miniskirt	mɪnaɪskərt	<ˈmɪniˌskərt>
incurring	ɪnkərrɪŋ	<ˌɪnˈkərɪŋ>
around	eɪraʊnd	<əraʊnd>
drugstore	drəgstɔr	<ˈdrəgˌstɔr>
putative	putɑtaɪv	<ˈpjutətɪv>
twofold	tufoʊld	<ˈtuˈfoʊld>
container	kɑnteɪnər	<kənˈteɪnər>
consolidating	kɑnsɑlaɪdætɪŋ	<kənˈsɑləˌdeɪtɪŋ>
separate	sɛpeɪreɪt	<ˈsɛpərˌeɪt>
wellness	wɛlnɛs	<ˈwɛlnəs>
cathode	kæθoʊd	<ˈkæˌθoʊd>
glorified	gloʊraɪfaɪd	<ˈglɔrəˌfaɪd>
ester	ɛstər	<ˈɛstər>
initiative	ɪnaɪtieɪtaɪv	<ˌɪˈnɪʃətɪv>
little	lɪtti	<ˈlɪtəl>
summing	səmmɪŋ	<ˈsəmɪŋ>
distinguished	dɪstɪngɪʃd	<dɪˈstɪŋgwɪʃt>
carried	kɑrrid	<ˈkɛrid>
phenotype	finoʊtaɪp	<ˈfinəˌtaɪp>
clarifying	klɑraɪfaɪɪŋ	<ˈklɛrəˌfaɪɪŋ>
hero	hiroʊ	<ˈhɪroʊ>
lipoprotein	lɪpoʊproʊtin	<ˌlɪpəˈproʊtin>
grandparent	grændpɑrɛnt	<ˈgrændˌpɛrənt>
forgot	fɔrgɑt	<fərˈgɑt>
similarity	sɪmaɪlɑraɪtaɪ	<ˌsɪməˈlɛrəti>
ami	eɪmi	<ˈɑmi>
ciao	kaʊ	<ʧaʊ>
exhibitionist	ɛkshaɪbaɪtaɪnɪst	<ˌɛksəˈbɪʃənɪst>
barbarian	bɑrbɑraɪæn	<bɑrˈbɛriən>
earthly	ərθlaɪ	<ˈərθli>
trimmer	trɪmmɛr	<ˈtrɪmər>
sheik	ʃik	<ʃik>
oncoming	ɑnkɑmɪŋ	<ˈɔnˌkəmɪŋ>
nymph	nɪmf	<nɪmf>
fragility	frɑgɪlaɪtaɪ	<frəˈʤɪləti>
loafer	loʊfər	<ˈloʊfər>
reconnaissance	rikɑnneɪzsæns	<riˈkɑnəsəns>
compliment	kɑmplaɪmɛnt	<ˈkɑmpləmɛnt>
frown	fraʊn	<fraʊn>
insensitive	ɪnsɛnsitaɪv	<ˌɪnˈsɛnsɪtɪv>
echoes	ɛʧoʊz	<ˈɛkoʊz>
comb	kɑm	<koʊm>
swore	swaʊr	<swɔr>
cocktail	kɑkteɪl	<ˈkɑkˌteɪl>
rainbow	reɪnboʊ	<ˈreɪnˌboʊ>
teller	tɛlər	<ˈtɛlər>
splinter	spɪntər	<ˈsplɪntər>
smog	smɑg	<smɑg>
tapas	tɑpæs	<ˈtəpəs>
beeper	bipər	<ˈbipər>
frontage	frənteɪʤ	<ˈfrəntɪʤ>
coefficient	koʊɛffaɪsaɪnt	<ˌkoʊəˈfɪʃənt>
whistler	wɪztlɛr	<ˈwɪslər>
fumble	fəmbli	<ˈfəmbəl>
electricity	ilɛktrɪkaɪtaɪ	<ɪˌlɛkˈtrɪsəti>
reserve	risərv	<rɪˈzərv>
increment	ɪnkrimɛnt	<ˈɪnkrəmənt>
preserve	prisərv	<prɪˈzərv>
disparate	dɪspɑreɪt	<ˈdɪspərɪt>
unknown	ənnoʊn	<ənˈnoʊn>
aggressiveness	æggrɛssaɪvnɛs	<əˈgrɛsɪvnəs>
gotta	gɑttɑ	<ˈgɑtə>
silicate	sɪlaɪkeɪt	<ˈsɪləˌkeɪt>
rejoiced	riʤɔɪst	<rɪˈʤɔɪst>
chopper	ʧɑppər	<ˈʧɑpər>
thesaurus	ðisoʊrəs	<θəˈsɔrəs>
pantry	pæntraɪ	<ˈpæntri>
noir	nɔɪr	<nɔɪr>
protege	proʊtiʤi	<ˈproʊtəˌʒeɪ>
privates	praɪveɪts	<ˈpraɪvəts>
excluding	ɛksklədɪŋ	<ɪkˈskludɪŋ>
fetish	fɛtɪʃ	<ˈfɛtɪʃ>
uneven	ənivɛn	<əˈnivən>
mixture	mɪkstʊr	<ˈmɪksʧər>
assets	æssɛts	<ˈæˌsɛts>
proven	prɑvɛn	<ˈpruvən>
gifted	gɪftɛd	<ˈgɪftɪd>
tedious	tidaɪaʊz	<ˈtidiəs>
gliding	glɪdɪŋ	<ˈglaɪdɪŋ>
forgiven	fɔrʤɪvɛn	<fərˈgɪvən>
frankly	fræŋklaɪ	<ˈfræŋkli>
adolescence	ædoʊlɛssɛns	<ˌædəˈlɛsəns>
barrage	bɑrreɪʤ	<bərɑʒ>
sunlight	sənlaɪt	<ˈsənˌlaɪt>
camouflage	kæmufleɪʤ	<ˈkæməˌflɑʒ>
innumerable	ɪnnumɛreɪbli	<ˌɪˈnumərəbəl>
unitarian	unitɑraɪæn	<ˌjunəˈtɛriən>
sweeps	swip	<swips>
perilous	pəraɪlaʊz	<ˈpɛrələs>
flywheel	flaɪwil	<ˈflaɪˌwil>
juice	ʤus	<ʤus>
aria	eɪraɪeɪ	<ˈɑriə>
sabin	sɑbɪn	<ˈseɪbɪn>
inoperative	ɪnɑpəreɪtaɪv	<ˌɪˈnɑpərətɪv>
rewriting	rirɪtɪŋ	<riˈraɪtɪŋ>
fort	fɔrt	<fɔrt>
inshore	ɪnʃɔr	<ˈɪnˈʃɔr>
typesetting	taɪpsɛttɪŋ	<ˈtaɪpˌsɛtɪŋ>
smile	smaɪl	<smaɪl>
vulva	vəlvɑ	<ˈvʊlvə>
twig	tɪg	<twɪg>
action	æktaɪn	<ˈækʃən>
wiggle	wɪggli	<ˈwɪgəl>
savor	sɑvɔr	<ˈseɪvər>
detail	diteɪl	<ˈditeɪl>
forwarding	fɔrwɔrdɪŋ	<ˈfɔrwərdɪŋ>
audience	oʊdaɪɛns	<ˈɔdiəns>
haste	heɪst	<heɪst>
purchase	pərʧeɪz	<ˈpərʧəs>
triangulation	traɪængulɑtaɪn	<traɪˌæŋgjuˈleɪʃən>
shakedown	ʃeɪkdaʊn	<ˈʃeɪkˌdaʊn>
override	oʊvərraɪd	<ˈoʊvərˌraɪd>
thoughtful	θɔtfəl	<ˈθɔtfəl>
quizzes	kwɪzzɛs	<kˈwɪzɪz>
larder	lɑrdər	<ˈlɑrdər>
brick	brɪk	<brɪk>
emigrant	ɛmaɪgrænt	<ˈɛməgrənt>
capo	kɑpoʊ	<ˈkɑpoʊ>
unannounced	ənænnaʊns	<ˌənəˈnaʊnst>
alleviating	ælliviætɪŋ	<əˈliviˌeɪtɪŋ>
donny	dɑnnaɪ	<ˈdɑni>
there	ðɛr	<ðɛr>
comptroller	kɑmptrɑllər	<ˈkɑmˌtroʊlər>
vista	vɪstɑ	<ˈvɪstə>
equitable	ɛkjutɑbli	<ˈɛkwɪtəbəl>
skew	skju	<skju>
gents	ʤɛnts	<ʤɛnts>
mako	mɑkoʊ	<ˈmɑkoʊ>
skater	skætər	<ˈskeɪtər>
influencing	ɪnfluɛnkɪŋ	<ˈɪnˌfluənsɪŋ>
insufficient	ɪnsəffaɪsaɪnt	<ˌɪnsəˈfɪʃənt>
inbound	ɪnbaʊnd	<ˌɪnˈbaʊnd>
accepted	ækkɛptɛd	<ækˈsɛptɪd>
spruce	spru	<sprus>
etcetera	ɛtsɛtəreɪ	<ˈɛtˈsɛtərə>
blade	bleɪd	<bleɪd>
yoke	joʊk	<joʊk>
stove	stoʊv	<stoʊv>
unavailable	əneɪveɪleɪbli	<ˌənəˈveɪləbəl>
sickly	sɪklaɪ	<ˈsɪkli>
spay	speɪ	<speɪ>
jaeger	ʤeɪgər	<ˈʤɛgər>
unattended	ənættɛndɛd	<ənəˈtɛndɪd>
petitioner	pititaɪnər	<pəˈtɪʃənər>
realised	riælaɪzd	<ˈriəˌlaɪzd>
disable	dɪseɪbli	<dɪˈseɪbəl>
usual	usuæl	<ˈjuʒəwəl>
griffin	grɪffɪn	<ˈgrɪfɪn>
organist	ərgænɪst	<ˈɔrgənəst>
idealism	aɪdiælɪs	<aɪˈdilɪzəm>
placing	plækɪŋ	<ˈpleɪsɪŋ>
respectable	rispɛkteɪbli	<rɪˈspɛktəbəl>
redding	rɛdɪŋ	<ˈrɛdɪŋ>
remuneration	rimunɛreɪtaɪn	<rɪmˌjunərˈeɪʃən>
vessel	vɛssɛl	<ˈvɛsəl>
stalked	stɔkt	<stɔkt>
density	dɛnsitaɪ	<ˈdɛnsɪti>
adieu	eɪdaɪ	<əˈdu>
homesick	hoʊmsɪk	<ˈhoʊmˌsɪk>
monastery	mɑnæstərjaɪ	<ˈmɑnəˌstɛri>
unhelpful	ənhɛlpfəl	<ənˈhɛlpfəl>
standstill	stændstɪl	<ˈstændˌstɪl>
quake	kweɪk	<kweɪk>
transparency	trænzpɑrɛnkaɪ	<trænˈspɛrənsi>
shout	ʃaʊt	<ʃaʊt>
assemblage	æssɛmbleɪʤ	<əˈsɛmblɪʤ>
pensioner	pɛnsɪnər	<ˈpɛnʃənər>
redistributing	ridɪstrɪbətɪŋ	<ˌridɪˈstrɪbjətɪŋ>
precarious	prikɑraɪaʊz	<priˈkɛriəs>
ancestry	ænsɛstraɪ	<ˈænsɛstri>
labyrinth	læbjaɪrɪnθ	<ˈlæbərˌɪnθ>
situational	sɪtueɪtaɪnæl	<ˌsɪʧuˈeɪʃənəl>
dealing	dilɪŋ	<ˈdilɪŋ>
send	sɛnd	<sɛnd>
turnip	tərnɪp	<ˈtərnəp>
hopper	hɑppər	<ˈhɑpər>
magistrate	mægɪstreɪt	<ˈmæʤɪˌstreɪt>
teen	tin	<tin>
bloodline	bloʊdlaɪn	<ˈbləˌdlaɪn>
granny	grænnaɪ	<ˈgræni>
fresher	frɛʃər	<ˈfrɛʃər>
integrity	ɪntɛgraɪtaɪ	<ˌɪnˈtɛgrəti>
potent	poʊtɛnt	<ˈpoʊtənt>
cancerous	kænkəraʊz	<ˈkænsərəs>
complete	kɑmplit	<kəmˈplit>
watercolor	wɑtərkɑlər	<ˈwɔtərˌkələr>
meter	mitər	<ˈmitər>
stuffy	stəfjaɪ	<ˈstəfi>
jess	ʤɛs	<ʤɛs>
transcribe	trænskraɪb	<trænˈskraɪb>
enthusiasm	ɛnðusiæs	<ɪnˈθuziˌæzəm>
ale	eɪl	<eɪl>
citron	sɪtrɑn	<ˈsɪtrənz>
courage	kaʊəreɪʤ	<kərɪʤ>
bummer	bəmmɛr	<ˈbəmər>
gilt	gɪlt	<gɪlt>
legitimately	ligɪtaɪmeɪtlaɪ	<ləˈʤɪtəmətli>
stalk	stæk	<stɔk>
dossiers	dɑssiərs	<ˌdɔsˈjeɪz>
net	nɛt	<nɛt>
penchant	pɛnʧænt	<ˈpɛnʧənt>
satellite	sætɛllaɪt	<ˈsætəˌlaɪt>
metastasis	mitɑztɑsɪs	<məˈtæstəsɪs>
rectal	rɛktæl	<ˈrɛktəl>
silenced	silɛnt	<ˈsaɪlənst>
dogging	dɑgʤɪŋ	<ˈdɔgɪŋ>
medicated	mɛdaɪkætɛd	<ˈmɛdɪˌkeɪtɪd>
depravity	diprævaɪtaɪ	<dɪˈprævəti>
illuminator	ɪlluminɑtɔr	<ˌɪˈluməˌneɪtər>
spat	spæt	<spæt>
pamper	pæmpər	<ˈpæmpər>
baptismal	bæptɪsmæl	<bæpˈtɪzməl>
prototype	proʊtoʊtaɪp	<ˈproʊtoʊˌtaɪp>
semifinal	sɛmaɪfaɪnæl	<ˌsɛmɪˈfaɪnəl>
corneal	kɔrniæl	<ˌkɔrˈnil>
fibre	faɪbri	<ˈfaɪbər>
aptly	æptlaɪ	<ˈæptli>
imperfect	ɪmpərfɛkt	<ˌɪmˈpərfɪkt>
visit	vɪsɪt	<ˈvɪzɪt>
aggression	æggrɛssɪn	<əˈgrɛʃən>
jarring	ʤɑrrɪŋ	<ˈʤɑrɪŋ>
pinch	pɪnʧ	<pɪnʧ>
premises	prɛmɪsɛs	<ˈprɛməsəz>
traveler	trævɛlər	<ˈtrævələr>
seniority	sɛnjəraɪtaɪ	<sinˈjɔrɪti>
tunica	tunikɑ	<ˈtunɪkə>
yarn	jɑrn	<jɑrn>
streptococcus	strɛptoʊkɑkkəs	<ˌstrɛptəˈkɔkəs>
vibrate	vibreɪt	<ˈvaɪbreɪt>
