ing	<ɪŋ>
pleased	<plizd>
noose	<nus>
dos	<dɔs>
stoned	<stoʊnd>
vague	<veɪg>
blown	<bloʊn>
hunk	<həŋk>
ame	<eɪm>
puke	<pjuk>
las	<ˈɛˈleɪˈɛs>
rid	<rɪd>
fit	<fɪt>
test	<tɛst>
whole	<hoʊl>
fer	<fɛr>
ring	<rɪŋ>
cod	<ˈsiˈoʊˈdi>
gear	<gɪr>
box	<bɑks>
third	<θərd>
bert	<bərt>
goods	<gʊdz>
lieu	<lu>
stol	<stoʊl>
cade	<keɪd>
shear	<ʃɪr>
pee	<pi>
vest	<vɛst>
stint	<stɪnt>
spiel	<spil>
bort	<bɔrt>
cup	<kəp>
he	<hi>
joy	<ʤɔɪ>
teas	<tiz>
rook	<rʊk>
squirt	<skwərt>
fold	<foʊld>
grade	<greɪd>
fang	<fæŋ>
slat	<slæt>
fun	<fən>
league	<lig>
sci	<ˈɛsˈsiˈaɪ>
stick	<stɪk>
dea	<di>
ess	<ɛs>
sound	<saʊnd>
tonk	<tɔŋk>
crafts	<kræfts>
bust	<bəst>
mos	<mɔs>
pea	<pi>
phil	<fɪl>
poon	<pun>
shine	<ʃaɪn>
strange	<streɪnʤ>
jeep	<ʤip>
ilk	<ɪlk>
chap	<ʧæp>
phone	<foʊn>
doo	<du>
ridge	<rɪʤ>
dam	<dæm>
dooms	<dumz>
nip	<nɪp>
yeo	<ˈjioʊ>
hooked	<hʊkt>
lau	<laʊ>
hodge	<hɑʤ>
sour	<saʊər>
wipe	<waɪp>
pleas	<pliz>
loon	<lun>
gade	<geɪd>
thin	<θɪn>
elves	<ɛlvz>
chime	<ʧaɪm>
gant	<gænt>
heeled	<hild>
baud	<bɔd>
dab	<dæb>
mange	<meɪnʤ>
buzz	<bəz>
next	<nɛkst>
brush	<brəʃ>
conn	<kɑn>
grebe	<grib>
lab	<læb>
stan	<stæn>
trant	<trænt>
gov	<gəv>
press	<prɛs>
his	<hɪz>
sneak	<snik>
said	<sɛd>
ze	<zeɪ>
cream	<krim>
chet	<ʧɛt>
pair	<pɛr>
wax	<wæks>
feist	<faɪst>
seek	<sik>
rot	<rɑt>
ques	<kwɛs>
pump	<pəmp>
raised	<reɪzd>
loom	<lum>
jus	<ʤəs>
dun	<dən>
proved	<pruvd>
vive	<viv>
sac	<sæk>
flag	<flæg>
boast	<boʊst>
ash	<æʃ>
feud	<fjud>
bop	<bɑp>
quest	<kwɛst>
lan	<læn>
thence	<ðɛns>
peel	<pil>
wealth	<wɛlθ>
graced	<greɪst>
skin	<skɪn>
cot	<kɑt>
shrill	<ʃrɪl>
chase	<ʧeɪs>
raft	<ræft>
clog	<klɑg>
munch	<mənʧ>
pearl	<pərl>
touch	<təʧ>
yoke	<joʊk>
brough	<braʊ>
dant	<dænt>
dep	<dɛp>
foot	<fʊt>
paint	<peɪnt>
pix	<pɪks>
rai	<rɑi>
girl	<gərl>
brass	<bræs>
tap	<tæp>
him	<ɪm>
teem	<tim>
spin	<spɪn>
dif	<dɪf>
slight	<slaɪt>
strep	<strɛp>
font	<fɑnt>
gae	<gaɪ>
noth	<nɑθ>
caw	<kɔ>
breech	<briʧ>
morse	<mɔrs>
husk	<həsk>
rack	<ræk>
poth	<pɑθ>
sized	<saɪzd>
dev	<dɛv>
safe	<seɪf>
freed	<frid>
smelt	<smɛlt>
cay	<keɪ>
fluff	<fləf>
scat	<skæt>
sha	<ʃɑ>
alt	<ɑlt>
plied	<plaɪd>
firsts	<fərsts>
quo	<kwoʊ>
charged	<ʧɑrʤd>
new	<nu>
jen	<ʤɛn>
hey	<heɪ>
thar	<θɑr>
spew	<spju>
bock	<bɑk>
fray	<freɪ>
combe	<koʊm>
gump	<gəmp>
shut	<ʃət>
dau	<doʊ>
thanks	<θæŋks>
twine	<twaɪn>
lead	<lɛd>
nace	<neɪs>
bree	<bri>
lime	<laɪm>
dey	<deɪ>
hang	<hæŋ>
snack	<snæk>
large	<lɑrʤ>
blouse	<blaʊs>
mash	<mæʃ>
pace	<peɪs>
pu	<pu>
brave	<breɪv>
pack	<pæk>
aged	<ˈeɪʤɪd>
wasp	<wɑsp>
think	<θɪŋk>
state	<steɪt>
qua	<kwɑ>
fart	<fɑrt>
mount	<maʊnt>
mitt	<mɪt>
cant	<kænt>
hash	<hæʃ>
lion	<laɪən>
clock	<klɑk>
gin	<ʤɪn>
lant	<lænt>
night	<naɪt>
gale	<geɪl>
crip	<krɪp>
tray	<treɪ>
bland	<blænd>
booth	<buθ>
vide	<vaɪd>
sleet	<slit>
news	<nuz>
stir	<stər>
save	<seɪv>
famed	<feɪmd>
life	<laɪf>
yield	<jild>
sand	<sænd>
ben	<bɛn>
thought	<θɔt>
sty	<staɪ>
lis	<lɪs>
earn	<ərn>
straight	<streɪt>
brief	<brif>
struck	<strək>
from	<frəm>
snip	<snɪp>
weird	<wɪrd>
crimp	<krɪmp>
leased	<list>
charm	<ʧɑrm>
neg	<nɛg>
curd	<kərd>
laugh	<læf>
femme	<fɛm>
grand	<grænd>
hun	<hən>
flan	<flæn>
sue	<su>
lief	<lif>
tail	<teɪl>
tot	<tɑt>
spot	<spɑt>
ise	<aɪz>
wreck	<rɛk>
cliff	<klɪf>
width	<wɪdθ>
roe	<roʊ>
quin	<kwɪn>
knot	<nɑt>
ref	<rɛf>
bleak	<blik>
warm	<wɔrm>
curb	<kərb>
world	<wərld>
pled	<plɛd>
guild	<gɪld>
hall	<hɔl>
stalked	<stɔkt>
bay	<beɪ>
pret	<prɛt>
ultra	<ˈəltrə>
violet	<ˈvaɪəlɪt>
pong	<pɔŋ>
vase	<vɑz>
bud	<bəd>
street	<strit>
tac	<tæk>
grate	<greɪt>
thatch	<θæʧ>
herd	<hərd>
hurt	<hərt>
weeds	<widz>
stub	<stəb>
thrust	<θrəst>
t	<ti>
nase	<neɪz>
pains	<peɪnz>
west	<wɛst>
south	<saʊθ>
hype	<haɪp>
chop	<ʧɑp>
bate	<beɪt>
lapped	<læpt>
swipe	<swaɪp>
marque	<mɑrk>
cloud	<klaʊd>
jam	<ʤæm>
ree	<ri>
lift	<lɪft>
cause	<kɔz>
path	<pæθ>
quire	<kwaɪr>
wank	<wɑŋk>
tact	<tækt>
bird	<bərd>
rock	<rɑk>
twin	<twɪn>
spasm	<ˈspæzəm>
lite	<laɪt>
plumb	<pləm>
ged	<ˈʤiˈiˈdi>
buoy	<bui>
send	<sɛnd>
word	<wərd>
dram	<ˈdiˌræm>
duce	<ˈduˌʧeɪ>
clough	<klaʊ>
good	<gʊd>
will	<wɪl>
whore	<hɔr>
flood	<fləd>
gus	<gəs>
flight	<flaɪt>
hock	<hɑk>
mpg	<ˈɛmˈpiˈʤi>
rogue	<roʊg>
scape	<skeɪp>
tent	<tɛnt>
bove	<boʊv>
piece	<pis>
prey	<preɪ>
gym	<ʤɪm>
thine	<ðaɪn>
soil	<sɔɪl>
gust	<gəst>
berk	<bərk>
bibb	<bɪb>
hood	<hʊd>
charge	<ʧɑrʤ>
hear	<hir>
wean	<win>
blast	<blæst>
nang	<næŋ>
lean	<lin>
quaint	<kweɪnt>
tough	<təf>
flap	<flæp>
rist	<rɪst>
sheet	<ʃit>
pomp	<pɑmp>
hight	<haɪt>
thrush	<θrəʃ>
fresh	<frɛʃ>
das	<dɑs>
gaz	<gɑz>
til	<tɪl>
tude	<tud>
club	<kləb>
frank	<fræŋk>
crude	<krud>
spunk	<spəŋk>
dase	<deɪz>
deal	<dil>
changed	<ʧeɪnʤd>
hearth	<hɑrθ>
help	<hɛlp>
tame	<teɪm>
peck	<pɛk>
rum	<rəm>
loud	<laʊd>
hong	<hɔŋ>
flake	<fleɪk>
lied	<laɪd>
horde	<hɔrd>
chief	<ʧif>
ure	<jur>
dance	<dæns>
locked	<lɑkt>
were	<wər>
moon	<mun>
slacks	<slæks>
breast	<brɛst>
firmed	<fərmd>
burg	<bərg>
pointe	<pɔɪnt>
pon	<pɑn>
strain	<streɪn>
sam	<sæm>
flux	<fləks>
track	<træk>
ae	<eɪ>
work	<wərk>
swords	<sɔrdz>
cry	<kraɪ>
ends	<ɛndz>
town	<taʊn>
crave	<kreɪv>
dow	<daʊ>
merge	<mərʤ>
your	<jʊr>
bus	<bəs>
hertz	<hɛrts>
mire	<maɪər>
pool	<pul>
ache	<eɪk>
kan	<kæn>
lee	<li>
sweet	<swit>
fran	<fræn>
baht	<bɑt>
start	<stɑrt>
hurst	<hərst>
here	<hir>
make	<meɪk>
bies	<baɪz>
see	<si>
hap	<hæp>
jew	<ʤu>
laid	<leɪd>
bump	<bəmp>
pile	<paɪl>
bras	<brɑs>
vast	<væst>
stream	<strim>
wish	<wɪʃ>
buck	<bək>
nag	<næg>
draft	<dræft>
tons	<tənz>
frail	<freɪl>
serve	<sərv>
chrome	<kroʊm>
urge	<ərʤ>
us	<ˈjuˈɛs>
mast	<mæst>
heal	<hil>
nex	<nɛks>
sag	<sæg>
read	<rɛd>
ches	<ʧɛs>
mel	<mɛl>
piles	<paɪlz>
pax	<pæks>
range	<reɪnʤ>
find	<faɪnd>
seal	<sil>
coy	<kɔɪ>
file	<faɪl>
snook	<snʊk>
harsh	<hɑrʃ>
float	<floʊt>
wail	<weɪl>
ground	<graʊnd>
siege	<siʤ>
celt	<sɛlt>
corr	<kɔr>
roar	<rɔr>
sleep	<slip>
like	<laɪk>
quince	<kwɪns>
stuffed	<stəft>
prize	<praɪz>
pog	<pɑg>
woof	<wuf>
scarce	<skɛrs>
chang	<ʧæŋ>
gong	<gɔŋ>
kyu	<kju>
joke	<ʤoʊk>
crease	<kris>
sheikh	<ʃik>
fort	<fɔrt>
hitch	<hɪʧ>
swim	<swɪm>
quake	<kweɪk>
loot	<lut>
meat	<mit>
goon	<gun>
talk	<tɔk>
flat	<flæt>
jest	<ʤɛst>
forth	<fɔrθ>
load	<loʊd>
hex	<hɛks>
cab	<kæb>
solve	<sɑlv>
fife	<faɪf>
skimp	<skɪmp>
aft	<æft>
prem	<prɛm>
ere	<ɛr>
hen	<hɛn>
vote	<voʊt>
edge	<ɛʤ>
dum	<dəm>
rump	<rəmp>
broil	<brɔɪl>
hale	<heɪl>
fined	<faɪnd>
tort	<tɔrt>
cook	<kʊk>
toot	<tut>
jure	<ʤʊr>
most	<moʊst>
wham	<wæm>
spring	<spərɪŋ>
spray	<spreɪ>
bun	<bən>
shunt	<ʃənt>
liz	<lɪz>
rich	<rɪʧ>
leap	<lip>
grown	<groʊn>
works	<wərks>
skill	<skɪl>
throw	<θroʊ>
clam	<klæm>
shell	<ʃɛl>
verb	<vərb>
red	<rɛd>
quack	<kwæk>
hank	<hæŋk>
clem	<klɛm>
they	<ðeɪ>
snail	<sneɪl>
morn	<mɔrn>
ooze	<uz>
naught	<nɔt>
lard	<lɑrd>
wig	<wɪg>
pink	<pɪŋk>
tried	<traɪd>
coupe	<kup>
fess	<fɛs>
carl	<kɑrl>
ding	<dɪŋ>
ruf	<rəf>
garb	<gɑrb>
gue	<gju>
bond	<bɑnd>
sic	<sɪk>
tole	<toʊl>
grist	<grɪst>
hemp	<hɛmp>
toil	<tɔɪl>
folk	<foʊk>
lore	<lɔr>
truth	<truθ>
ou	<u>
av	<ˌeɪˈvi>
draught	<dræft>
pete	<pit>
both	<boʊθ>
card	<kɑrd>
dig	<dɪg>
coach	<koʊʧ>
hymn	<hɪm>
colt	<koʊlt>
punch	<pənʧ>
twist	<twɪst>
zack	<zæk>
span	<spæn>
mote	<moʊt>
team	<tim>
halt	<hɔlt>
whisk	<wɪsk>
thrill	<θrɪl>
dose	<doʊs>
close	<kloʊz>
dog	<dɔg>
loam	<loʊm>
som	<sɑm>
thick	<θɪk>
drove	<droʊv>
view	<vju>
shot	<ʃɑt>
tag	<tæg>
nist	<nɪst>
lia	<ˈliə>
lug	<ləg>
gage	<geɪʤ>
steer	<stɪr>
hop	<hɑp>
sung	<səŋ>
dough	<doʊ>
barb	<bɑrb>
sphinx	<sfɪŋks>
squeak	<skwik>
ankh	<ænk>
frame	<freɪm>
fink	<fɪŋk>
hi	<haɪ>
tow	<toʊ>
role	<roʊl>
flog	<flɑg>
rah	<rɑ>
bean	<bin>
task	<tæsk>
freeze	<friz>
hill	<hɪl>
put	<pʊt>
bog	<bɔg>
hag	<hæg>
waive	<weɪv>
sewn	<soʊn>
bees	<biz>
cog	<kɔg>
bis	<bɪs>
pike	<paɪk>
bic	<bɪk>
mend	<mɛnd>
price	<praɪs>
fall	<fɔl>
pound	<paʊnd>
sault	<sɔlt>
buff	<bəf>
mined	<maɪnd>
beck	<bɛk>
meant	<mɛnt>
slim	<slɪm>
fear	<fɪr>
bolt	<boʊlt>
wag	<wæg>
thon	<θɑn>
hoo	<hu>
liege	<liʤ>
crop	<krɑp>
lands	<lændz>
lop	<lɑp>
mez	<mɛz>
maud	<mɔd>
hid	<hɪd>
finch	<fɪnʧ>
wife	<waɪf>
cheer	<ʧɪr>
mute	<mjut>
nous	<nus>
tracks	<træks>
dust	<dəst>
dens	<dɛnz>
scratch	<skræʧ>
lines	<laɪnz>
glee	<gli>
reel	<ril>
chow	<ʧaʊ>
hound	<haʊnd>
fern	<fərn>
brisk	<brɪsk>
stow	<stoʊ>
bench	<bɛnʧ>
scour	<skaʊər>
pom	<pɔm>
fjord	<fjɔrd>
cured	<kjʊrd>
peat	<pit>
troop	<trup>
checked	<ʧɛkt>
guess	<gɛs>
polled	<poʊld>
rene	<rəˈneɪ>
floss	<flɑs>
quid	<kwɪd>
skirts	<skərts>
tit	<tɪt>
led	<lɛd>
snow	<snoʊ>
pran	<prɑn>
fe	<feɪ>
jac	<ʤæk>
pil	<pɪl>
trove	<troʊv>
choice	<ʧɔɪs>
butch	<bʊʧ>
rage	<reɪʤ>
bab	<bæb>
warn	<wɔrn>
knob	<nɑb>
knife	<naɪf>
quick	<kwɪk>
shoes	<ʃuz>
nov	<noʊv>
search	<sərʧ>
trait	<treɪt>
myth	<mɪθ>
cloth	<klɔθ>
roan	<roʊn>
trend	<trɛnd>
lase	<leɪz>
nome	<noʊm>
dahl	<dɑl>
yard	<jɑrd>
buc	<bək>
tight	<taɪt>
wrist	<rɪst>
rud	<rəd>
bends	<bɛndz>
frog	<frɑg>
watch	<wɔʧ>
perk	<pərk>
stay	<steɪ>
ploy	<plɔɪ>
loaf	<loʊf>
drape	<dreɪp>
crutch	<krəʧ>
bash	<bæʃ>
gird	<gərd>
caine	<keɪn>
lies	<laɪz>
awe	<ɔ>
gul	<gəl>
tress	<trɛs>
lure	<lʊr>
trot	<trɑt>
rag	<ræg>
geist	<gaɪst>
gil	<gɪl>
crest	<krɛst>
bam	<bæm>
crum	<krəm>
stall	<stɔl>
pain	<peɪn>
stops	<stɑps>
shorts	<ʃɔrts>
wad	<wɑd>
faint	<feɪnt>
tweak	<twik>
mille	<mɪl>
mule	<mjul>
wand	<wɑnd>
gens	<ʤɛnz>
dump	<dəmp>
brent	<brɛnt>
pounce	<paʊns>
film	<fɪlm>
while	<waɪl>
scene	<sin>
sides	<saɪdz>
coal	<koʊl>
sprint	<sprɪnt>
slay	<sleɪ>
look	<lʊk>
splits	<splɪts>
foal	<foʊl>
bore	<bɔr>
reave	<riv>
inch	<ɪnʧ>
matt	<mæt>
berg	<bərg>
spare	<spɛr>
boat	<boʊt>
carte	<kɑrt>
amp	<æmp>
crom	<krɑm>
curl	<kərl>
reap	<rip>
sect	<sɛkt>
lute	<lut>
mens	<mɛnz>
lapse	<læps>
size	<saɪz>
selves	<sɛlvz>
cock	<kɑk>
tuck	<tək>
sten	<stɛn>
leas	<liz>
coin	<kɔɪn>
fen	<fɛn>
heed	<hid>
drunk	<drəŋk>
block	<blɑk>
fuel	<fjuəl>
gap	<gæp>
rick	<rɪk>
stare	<stɛr>
jack	<ʤæk>
ass	<æs>
loy	<lɔɪ>
cheque	<ʧɛk>
thirst	<θərst>
rem	<rɛm>
throat	<θroʊt>
ceased	<sist>
thread	<θrɛd>
bide	<baɪd>
mom	<mɑm>
too	<tu>
pork	<pɔrk>
len	<lɛn>
leen	<lin>
ski	<ski>
bric	<brɪk>
boll	<boʊl>
sheep	<ʃip>
script	<skrɪpt>
lad	<læd>
chained	<ʧeɪnd>
hind	<haɪnd>
tool	<tul>
pars	<pɑrz>
luc	<luk>
bare	<bɛr>
plug	<pləg>
aer	<ɛr>
bought	<bɔt>
solved	<sɑlvd>
off	<ɔf>
zan	<zæn>
swat	<swɑt>
storm	<stɔrm>
ke	<kɛ>
length	<lɛŋθ>
arched	<ɑrʧt>
deaf	<dɛf>
bag	<bæg>
keg	<kɛg>
poor	<pur>
steed	<stid>
dried	<draɪd>
dumb	<dəm>
tenth	<tɛnθ>
hell	<hɛl>
thus	<ðəs>
suck	<sək>
fick	<fɪk>
clue	<klu>
rush	<rəʃ>
ur	<ər>
damp	<dæmp>
manned	<mænd>
horned	<hɔrnd>
crack	<kræk>
cough	<kɔf>
note	<noʊt>
milk	<mɪlk>
page	<peɪʤ>
score	<skɔr>
gress	<grɛs>
vue	<vju>
cham	<ʧæm>
paign	<peɪn>
econ	<ˈiˌkɑn>
ark	<ɑrk>
grim	<grɪm>
leg	<lɛg>
jot	<ʤɑt>
strap	<stræp>
pint	<paɪnt>
haul	<hɔl>
flip	<flɪp>
gulf	<gəlf>
vogue	<voʊg>
throb	<θrɑb>
bing	<bɪŋ>
blonde	<blɑnd>
pang	<pæŋ>
fox	<fɑks>
pinch	<pɪnʧ>
sap	<sæp>
brick	<brɪk>
sole	<soʊl>
lain	<leɪn>
bue	<bwɛ>
lag	<læg>
bouts	<baʊts>
lined	<laɪnd>
dia	<ˈdiə>
slug	<sləg>
gish	<ʤɪʃ>
kitch	<kɪʧ>
romp	<rɑmp>
tram	<træm>
string	<strɪŋ>
slave	<sleɪv>
starve	<stɑrv>
daw	<dɔ>
jun	<ʤən>
quilt	<kwɪlt>
dire	<daɪər>
rough	<rəf>
wire	<waɪər>
phar	<fɑr>
ply	<plaɪ>
dour	<daʊər>
glass	<glæs>
redd	<rɛd>
gab	<gæb>
made	<meɪd>
dead	<dɛd>
knee	<ni>
hump	<həmp>
kind	<kaɪnd>
dred	<drɛd>
youth	<juθ>
feed	<fid>
twill	<twɪl>
sight	<saɪt>
flak	<flæk>
asp	<æsp>
sconce	<skɑns>
tass	<tæs>
crush	<krəʃ>
jean	<ʤin>
cache	<kæˈʃeɪ>
lol	<lɔl>
boon	<bun>
splat	<splæt>
pad	<pæd>
plump	<pləmp>
black	<blæk>
tiff	<tɪf>
frith	<frɪθ>
has	<həz>
wis	<wɪs>
rape	<reɪp>
snuff	<snəf>
plush	<pləʃ>
heir	<ɛr>
rio	<ˈrioʊ>
chae	<ʧaɪ>
huff	<həf>
fond	<fɑnd>
beth	<bɛθ>
cave	<keɪv>
gore	<gɔr>
peer	<pɪr>
roost	<rust>
shoe	<ʃu>
zel	<zɛl>
dick	<dɪk>
mains	<meɪnz>
root	<rut>
bell	<bɛl>
ranged	<reɪnʤd>
stale	<steɪl>
our	<ɑr>
hat	<hæt>
loathe	<loʊð>
lum	<ləm>
kon	<kɑn>
lye	<laɪ>
vice	<vaɪs>
viv	<vɪv>
nile	<naɪl>
fact	<fækt>
brows	<braʊz>
than	<ðən>
hick	<hɪk>
theirs	<ðɛrz>
may	<meɪ>
stance	<stæns>
yo	<joʊ>
thrice	<θraɪs>
baa	<ˌbiˌeɪˈeɪ>
carve	<kɑrv>
reach	<riʧ>
snap	<snæp>
touched	<təʧt>
sans	<sænz>
wale	<weɪl>
rows	<roʊz>
grass	<græs>
rasp	<ræsp>
end	<ɛnd>
strung	<strəŋ>
dar	<dɑr>
harm	<hɑrm>
text	<tɛkst>
pour	<pɔr>
slaugh	<slɔ>
kyle	<kaɪl>
race	<reɪs>
list	<lɪst>
scram	<skræm>
thun	<θən>
lets	<lɛts>
crime	<kraɪm>
repr	<ˈrɛpər>
slate	<sleɪt>
gull	<gəl>
cue	<kju>
swell	<swɛl>
shirt	<ʃərt>
treat	<trit>
march	<mɑrʧ>
scrap	<skræp>
hinge	<hɪnʤ>
deft	<dɛft>
roof	<rʊf>
riff	<rɪf>
fowl	<faʊl>
cringe	<krɪnʤ>
thrive	<θraɪv>
haus	<haʊs>
dix	<dɪks>
crose	<kroʊz>
jaws	<ʤɔz>
fucking	<ˈfəkɪŋ>
wrote	<roʊt>
flee	<fli>
mei	<meɪ>
wed	<wɛd>
over	<ˈoʊvər>
cold	<koʊld>
bring	<brɪŋ>
shrink	<ʃrɪŋk>
suds	<sədz>
give	<gɪv>
craps	<kræps>
ros	<rɔs>
grain	<greɪn>
dah	<də>
tear	<tɪr>
calm	<kɑm>
junk	<ʤəŋk>
lem	<lɛm>
sculpt	<skəlpt>
boss	<bɔs>
moor	<mʊr>
boule	<bul>
lash	<læʃ>
crisp	<krɪsp>
thong	<θɔŋ>
freight	<freɪt>
stem	<stɛm>
tsar	<zɑr>
cash	<kæʃ>
hast	<hæst>
braced	<breɪst>
sail	<seɪl>
rule	<rul>
chaps	<ʧæps>
gasp	<gæsp>
ringe	<rɪŋ>
kun	<kən>
vile	<vaɪl>
mich	<mɪʧ>
stade	<steɪd>
brack	<bræk>
scor	<skɔr>
crew	<kru>
crate	<kreɪt>
scan	<skæn>
mite	<maɪt>
twelve	<twɛlv>
wart	<wɔrt>
quant	<kwænt>
woods	<wʊdz>
fad	<fæd>
had	<hæd>
sword	<sɔrd>
soot	<sʊt>
wired	<waɪərd>
jess	<ʤɛs>
cole	<koʊl>
heard	<hərd>
bro	<broʊ>
scoot	<skut>
mick	<mɪk>
tick	<tɪk>
digs	<dɪgz>
grave	<greɪv>
roque	<roʊk>
fill	<fɪl>
ride	<raɪd>
wolf	<wʊlf>
nuke	<nuk>
bom	<bɑm>
reck	<rɛk>
yen	<jɛn>
cairn	<kɛrn>
trip	<trɪp>
slam	<slæm>
ill	<ɪl>
zine	<zaɪn>
chaff	<ʧæf>
scored	<skɔrd>
earth	<ərθ>
vise	<vaɪs>
ins	<ˈaɪˈɛˈnɛs>
mold	<moʊld>
skid	<skɪd>
grieved	<grivd>
dole	<doʊl>
took	<tʊk>
church	<ʧərʧ>
stage	<steɪʤ>
chon	<ʧɑn>
weld	<wɛld>
canned	<kænd>
taj	<tɑʒ>
skew	<skju>
helm	<hɛlm>
viar	<vaɪər>
lest	<lɛst>
full	<fʊl>
dogs	<dɔgz>
jin	<ʤɪn>
tempt	<tɛmpt>
nope	<noʊp>
squad	<skwɑd>
boot	<but>
won	<wən>
route	<rut>
lage	<leɪʤ>
blink	<blɪŋk>
swarm	<swɔrm>
style	<staɪl>
jerk	<ʤərk>
fifth	<fɪθ>
joint	<ʤɔɪnt>
hunch	<hənʧ>
truss	<trəs>
plead	<plid>
rub	<rəb>
quits	<kwɪts>
boar	<bɔr>
bless	<blɛs>
still	<stɪl>
mayor	<meɪər>
sweeps	<swips>
scout	<skaʊt>
linn	<lɪn>
cott	<kɑt>
biz	<bɪz>
hou	<hu>
p	<pi>
shave	<ʃeɪv>
earl	<ərl>
smashed	<smæʃt>
pac	<pæk>
noons	<nunz>
kilt	<kɪlt>
vox	<vɑks>
pied	<paɪd>
piled	<paɪld>
chit	<ʧɪt>
vamp	<væmp>
brake	<breɪk>
brain	<breɪn>
kill	<kɪl>
rail	<reɪl>
feel	<fil>
mong	<mɔŋ>
grieve	<griv>
flop	<flɑp>
knock	<nɑk>
bind	<baɪnd>
gnome	<noʊm>
theft	<θɛft>
chest	<ʧɛst>
sponge	<spənʤ>
rein	<reɪn>
deer	<dɪr>
shade	<ʃeɪd>
rey	<reɪ>
debt	<dɛt>
goose	<gus>
drive	<draɪv>
feit	<faɪt>
cree	<kri>
lode	<loʊd>
dirk	<dərk>
sky	<skaɪ>
iq	<ˈaɪˈkju>
heft	<hɛft>
vow	<vaʊ>
chew	<ʧu>
fives	<faɪvz>
lang	<læŋ>
girth	<gərθ>
burr	<bər>
maze	<meɪz>
strut	<strət>
ooh	<u>
clack	<klæk>
beach	<biʧ>
nath	<næθ>
tubes	<tubz>
bour	<baʊr>
moot	<mut>
plane	<pleɪn>
chuck	<ʧək>
hedge	<hɛʤ>
mired	<maɪrd>
have	<hæv>
eat	<it>
scoop	<skup>
how	<haʊ>
wing	<wɪŋ>
dodge	<dɑʤ>
sparse	<spɑrs>
pate	<peɪt>
hears	<hirz>
bach	<bɑk>
flick	<flɪk>
valve	<vælv>
motte	<mɑt>
roach	<roʊʧ>
kir	<kɪr>
orb	<ɔrb>
whey	<weɪ>
whom	<hum>
claimed	<kleɪmd>
champ	<ʧæmp>
sir	<sər>
biff	<bɪf>
hilt	<hɪlt>
yours	<jʊrz>
durst	<dərst>
cob	<kɑb>
webs	<wɛbz>
suave	<swɑv>
are	<ər>
wrath	<ræθ>
chris	<krɪs>
term	<tərm>
crick	<krɪk>
glimpse	<glɪmps>
mee	<mi>
vex	<vɛks>
spy	<spaɪ>
alms	<ɑmz>
deb	<dɛb>
lamb	<læm>
core	<kɔr>
nerve	<nərv>
bade	<beɪd>
desk	<dɛsk>
slap	<slæp>
rance	<ræns>
balk	<bɔk>
sane	<seɪn>
fund	<fənd>
would	<wʊd>
spank	<spæŋk>
goo	<gu>
bulk	<bəlk>
spike	<spaɪk>
traps	<træps>
been	<bɪn>
depth	<dɛpθ>
cult	<kəlt>
ast	<æst>
alpha	<ˈælfə>
numeric	<nuˈmɛrɪk>
tense	<tɛns>
conte	<ˈkɔnteɪ>
rak	<ræk>
lung	<ləŋ>
gray	<greɪ>
bahn	<bæn>
vers	<vərs>
juice	<ʤus>
loo	<lu>
brood	<brud>
ranked	<ræŋkt>
tart	<tɑrt>
ways	<weɪz>
ear	<ɪr>
nest	<nɛst>
hone	<hoʊn>
raf	<ræf>
grouse	<graʊs>
math	<mæθ>
link	<lɪŋk>
germ	<ʤərm>
esque	<ɛsk>
sling	<slɪŋ>
grab	<græb>
kirk	<kərk>
cards	<kɑrdz>
shy	<ʃaɪ>
rex	<rɛks>
bass	<bæs>
belle	<bɛl>
foss	<fɑs>
slack	<slæk>
grid	<grɪd>
fab	<fæb>
sie	<si>
stice	<staɪs>
galax	<ˈgæˌlæks>
oak	<oʊk>
flock	<flɑk>
sod	<sɑd>
parch	<pɑrʧ>
clum	<kləm>
hoist	<hɔɪst>
chomp	<ʧɑmp>
smell	<smɛl>
mime	<maɪm>
glide	<glaɪd>
slit	<slɪt>
ruse	<ruz>
hands	<hænz>
bats	<bæts>
guns	<gənz>
source	<sɔrs>
ray	<reɪ>
eccles	<ˈɛkəlz>
cleans	<klinz>
cinque	<sɪŋk>
threat	<θrɛt>
woo	<wu>
wheat	<wit>
boiled	<bɔɪld>
nau	<noʊ>
flax	<flæks>
swain	<sweɪn>
dale	<deɪl>
change	<ʧeɪnʤ>
taps	<tæps>
trail	<treɪl>
hep	<hɛp>
fame	<feɪm>
pun	<pən>
quite	<kwaɪt>
drank	<dræŋk>
meet	<mit>
nir	<nɪr>
fuzz	<fəz>
bald	<bɔld>
spread	<sprɛd>
buy	<baɪ>
mood	<mud>
cram	<kræm>
hog	<hɑg>
tied	<taɪd>
blitz	<blɪts>
krieg	<krig>
muse	<mjuz>
hogg	<hɑg>
whet	<wɛt>
lech	<lɛk>
elf	<ɛlf>
leave	<liv>
raid	<reɪd>
snipe	<snaɪp>
bold	<boʊld>
duke	<duk>
och	<ɑk>
sate	<seɪt>
tree	<tri>
fade	<feɪd>
crass	<kræs>
cox	<kɑks>
drapes	<dreɪps>
lens	<lɛnz>
zant	<zænt>
braid	<breɪd>
tsu	<tsu>
dean	<din>
mauve	<mɔv>
wild	<waɪld>
pared	<pɛrd>
bruise	<bruz>
pont	<pɑnt>
dug	<dəg>
palm	<pɑm>
grove	<groʊv>
lube	<lub>
hook	<hʊk>
